Date,Adj_Close
1/2/1990,17.24
1/3/1990,18.190001
1/4/1990,19.219999
1/5/1990,20.110001
1/8/1990,20.26
1/9/1990,22.200001
1/10/1990,22.440001
1/11/1990,20.049999
1/12/1990,24.639999
1/15/1990,26.34
1/16/1990,24.18
1/17/1990,24.16
1/18/1990,24.34
1/19/1990,22.5
1/22/1990,26.700001
1/23/1990,24.719999
1/24/1990,25.389999
1/25/1990,25.629999
1/26/1990,26.280001
1/29/1990,26.440001
1/30/1990,27.25
1/31/1990,25.360001
2/1/1990,24.870001
2/2/1990,24.32
2/5/1990,24.540001
2/6/1990,24.690001
2/7/1990,24.290001
2/8/1990,23.77
2/9/1990,23.690001
2/12/1990,24.379999
2/13/1990,23.76
2/14/1990,22.049999
2/15/1990,19.709999
2/16/1990,20.780001
2/19/1990,null
2/20/1990,22.780001
2/21/1990,23.889999
2/22/1990,22.540001
2/23/1990,23.690001
2/26/1990,23.559999
2/27/1990,22.690001
2/28/1990,21.99
3/1/1990,21.9
3/2/1990,21.34
3/5/1990,22.030001
3/6/1990,20.549999
3/7/1990,19.1
3/8/1990,19.74
3/9/1990,20.299999
3/12/1990,20.07
3/13/1990,21.049999
3/14/1990,19.65
3/15/1990,18.809999
3/16/1990,17.620001
3/19/1990,18.290001
3/20/1990,19.059999
3/21/1990,20.1
3/22/1990,22.74
3/23/1990,20.459999
3/26/1990,19.59
3/27/1990,21.01
3/28/1990,19.77
3/29/1990,18.459999
3/30/1990,19.73
4/2/1990,22.84
4/3/1990,20.440001
4/4/1990,22.030001
4/5/1990,21.209999
4/6/1990,21.76
4/9/1990,22.299999
4/10/1990,21.690001
4/11/1990,17.73
4/12/1990,19.799999
4/13/1990,null
4/16/1990,20.75
4/17/1990,20.379999
4/18/1990,22.67
4/19/1990,22.459999
4/20/1990,23.33
4/23/1990,24.16
4/24/1990,21.700001
4/25/1990,20.860001
4/26/1990,20.25
4/27/1990,22.190001
4/30/1990,19.52
5/1/1990,18.43
5/2/1990,19.32
5/3/1990,17.809999
5/4/1990,17.280001
5/7/1990,17.65
5/8/1990,18.49
5/9/1990,18.639999
5/10/1990,18.59
5/11/1990,19.809999
5/14/1990,20.139999
5/15/1990,19.49
5/16/1990,17.709999
5/17/1990,17.27
5/18/1990,17.200001
5/21/1990,16.719999
5/22/1990,17.84
5/23/1990,17.18
5/24/1990,17.700001
5/25/1990,17.32
5/28/1990,null
5/29/1990,18.75
5/30/1990,17.440001
5/31/1990,17.370001
6/1/1990,17.09
6/4/1990,18.389999
6/5/1990,18.969999
6/6/1990,17.42
6/7/1990,16.879999
6/8/1990,17.58
6/11/1990,16.34
6/12/1990,16.6
6/13/1990,17.379999
6/14/1990,17.4
6/15/1990,15.9
6/18/1990,17.709999
6/19/1990,15.23
6/20/1990,15.27
6/21/1990,14.72
6/22/1990,19.360001
6/25/1990,17.059999
6/26/1990,16.290001
6/27/1990,16
6/28/1990,16.18
6/29/1990,15.5
7/2/1990,16.26
7/3/1990,16.110001
7/4/1990,null
7/5/1990,17.25
7/6/1990,16.41
7/9/1990,16.66
7/10/1990,16.92
7/11/1990,16.68
7/12/1990,17.059999
7/13/1990,17.09
7/16/1990,16.75
7/17/1990,16.66
7/18/1990,18.9
7/19/1990,18.559999
7/20/1990,15.63
7/23/1990,23.68
7/24/1990,21.790001
7/25/1990,20.190001
7/26/1990,20.26
7/27/1990,21.120001
7/30/1990,21.16
7/31/1990,21.110001
8/1/1990,21.639999
8/2/1990,20.43
8/3/1990,28.74
8/6/1990,35.91
8/7/1990,32.75
8/8/1990,28.27
8/9/1990,24.389999
8/10/1990,25.75
8/13/1990,25.74
8/14/1990,24.18
8/15/1990,23.309999
8/16/1990,27.16
8/17/1990,27.530001
8/20/1990,26.459999
8/21/1990,28.9
8/22/1990,30.549999
8/23/1990,36.470001
8/24/1990,33.93
8/27/1990,29.629999
8/28/1990,29.120001
8/29/1990,27.379999
8/30/1990,29.889999
8/31/1990,29.9
9/3/1990,null
9/4/1990,29.58
9/5/1990,28.52
9/6/1990,30.190001
9/7/1990,28.73
9/10/1990,29.34
9/11/1990,28.379999
9/12/1990,28.120001
9/13/1990,29.33
9/14/1990,30.559999
9/17/1990,29.549999
9/18/1990,28.82
9/19/1990,27.879999
9/20/1990,28.66
9/21/1990,30.040001
9/24/1990,30.559999
9/25/1990,28.809999
9/26/1990,28.190001
9/27/1990,28.67
9/28/1990,29.110001
10/1/1990,28.059999
10/2/1990,27.280001
10/3/1990,27.9
10/4/1990,27.51
10/5/1990,27.85
10/8/1990,28.040001
10/9/1990,30.709999
10/10/1990,31.190001
10/11/1990,33.98
10/12/1990,31.940001
10/15/1990,31.639999
10/16/1990,31.450001
10/17/1990,31.370001
10/18/1990,29.6
10/19/1990,27.860001
10/22/1990,27.27
10/23/1990,27.57
10/24/1990,28.280001
10/25/1990,29.040001
10/26/1990,30.75
10/29/1990,31.540001
10/30/1990,30.52
10/31/1990,30.040001
11/1/1990,30.25
11/2/1990,30.030001
11/5/1990,29.85
11/6/1990,29.110001
11/7/1990,30.870001
